sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_location
P011_RNA_S43_L001, Daniel Castaneda Mogollon,2020-12-15 02:10:52 -0800,COMPLETE,2614.0,17500872,9602,0.055,0,1.0,61.617,1.07,561552,561316,346010,"",323610,Human,"",168,153,48,17,3748079,193.8,94.2962,8469660,Nasopharyngeal Swab,RNA,Canada
P312_RNA_S32_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,5677.0,19171612,23570,0.123,0,1.0,55.463,1.08,717276,716784,397824,"",369610,Human,"",206,153,61,16,4003917,224.23,100.223,9227168,Nasopharyngeal Swab,RNA,Canada
P311_RNA_S68_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,3833.0,18372966,85976,0.468,0,1.0,58.737,1.08,642694,642362,377502,"",351014,Human,"",189,153,56,18,3705702,206.791,92.1817,8865136,Nasopharyngeal Swab,RNA,Canada
P306_RNA_S89_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,5321.0,18437710,615136,3.336,0,1.0,69.836,1.21,1568172,1567006,1095144,"",907986,Human,"",187,137,56,16,4131494,209.448,99.4512,8434769,Nasopharyngeal Swab,RNA,Canada
P276_RNA_S30_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,4825.0,17125668,84944,0.496,0,1.0,56.735,1.11,643608,643170,365150,"",329914,Human,"",175,134,53,15,4185415,199.025,98.3296,8241030,Nasopharyngeal Swab,RNA,Canada
P272_RNA_S75_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,4000.0,26128248,31868,0.122,0,1.0,25.353,1.1,475774,475212,120624,"",109938,Human,"",184,153,52,18,2924920,199.76,86.5223,12826237,Nasopharyngeal Swab,RNA,Canada
P269_RNA_S7_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,3685.0,20644176,6948,0.034,0,1.0,61.501,1.06,712712,712410,438322,"",412462,Human,"",207,155,69,8,4484519,233.739,120.009,9965732,Nasopharyngeal Swab,RNA,Canada
P267_RNA_S57_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,5837.0,17691576,39562,0.224,0,1.0,51.367,1.07,652164,651782,334994,"",312606,Human,"",178,135,52,18,4699783,198.565,91.5061,8519706,Nasopharyngeal Swab,RNA,Canada
P264_RNA_S77_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,5050.0,21965834,107788,0.491,0,1.0,57.287,1.1,871174,870610,499072,"",453404,Human,"",180,134,54,14,4757726,201.346,96.0353,10547330,Nasopharyngeal Swab,RNA,Canada
P259_RNA_S4_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,4012.0,17354398,109226,0.629,0,1.0,61.539,1.12,755922,755680,465190,"",414544,Human,"",168,124,50,14,4474521,190.791,93.5547,8299238,Nasopharyngeal Swab,RNA,Canada
P090_RNA_S29_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,3969.0,25216066,9240,0.037,0,1.0,50.679,1.09,700236,699858,354876,"",324956,Human,"",188,153,56,17,3787963,205.899,92.7889,12257915,Nasopharyngeal Swab,RNA,Canada
P082_RNA_S79_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,4314.0,18296670,112120,0.613,0,1.0,36.783,1.16,629028,628094,231378,"",198722,Human,"",191,149,54,18,3733173,206.34,87.3903,8833821,Nasopharyngeal Swab,RNA,Canada
P080_RNA_S53_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,5735.0,21029778,805170,3.829,0,1.0,76.301,1.11,1441306,1440976,1099728,"",987126,Human,"",174,153,47,9,3588039,190.332,80.0013,9794236,Nasopharyngeal Swab,RNA,Canada
P069_RNA_S31_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:34 -0800,COMPLETE,3730.0,27571556,47600,0.173,2,1.0,53.36,1.11,861696,861100,459804,"",413908,Human,"",192,153,62,12,4786419,209.576,100.349,13354930,Nasopharyngeal Swab,RNA,Canada
P055_RNA_S91_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:35 -0800,COMPLETE,7546.0,21061776,1416556,6.726,4,1.0,83.722,1.22,2756106,2755812,2307470,"",1896030,Human,"",173,130,49,18,3655222,191.703,86.812,9152835,Nasopharyngeal Swab,RNA,Canada
P035_RNA_S69_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:35 -0800,COMPLETE,4938.0,22686014,142748,0.629,0,1.0,57.531,1.12,1042524,1041750,599778,"",536574,Human,"",157,122,43,13,3588021,176.898,81.2694,10821745,Nasopharyngeal Swab,RNA,Canada
P019_RNA_S78_L001, Daniel Castaneda Mogollon,2020-12-15 22:25:35 -0800,COMPLETE,4714.0,20758064,62396,0.301,0,1.0,63.528,1.09,1133638,1133098,720182,"",661112,Human,"",161,122,47,17,4389008,183.066,89.3945,9812213,Nasopharyngeal Swab,RNA,Canada
P435_RNA_S80_L001, Daniel Castaneda Mogollon,2020-12-15 22:51:59 -0800,COMPLETE,3425.0,23544470,25426,0.108,0,1.0,72.14,1.07,1144024,1143744,825298,"",769928,Human,"",196,153,63,17,4346428,224.044,114.825,11200223,Nasopharyngeal Swab,RNA,Canada
P434_RNA_S80_L001, Daniel Castaneda Mogollon,2020-12-15 22:51:59 -0800,COMPLETE,6013.0,18099096,354056,1.956,0,1.0,44.078,1.13,2037444,2034648,898070,"",792510,Human,"",173,124,57,18,3997363,197.608,102.599,8030826,Nasopharyngeal Swab,RNA,Canada
