study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB47870	ERP132183	SAMEA9990977	ERS7669237	ERX6535365	ERR6913101	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	658268	80692720	UNIVERSITY OF CALGARY	2021-10-12	2021-10-12	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:198-1	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:198-1	19511510;19867779	91191e560a60cdb8d5ab7bc65ee97128;91b5024c0cda7f14cbfc9060a06c1630	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/001/ERR6913101/ERR6913101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/001/ERR6913101/ERR6913101_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/001/ERR6913101/ERR6913101_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/001/ERR6913101/ERR6913101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/001/ERR6913101/ERR6913101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/001/ERR6913101/ERR6913101_2.fastq.gz	18577235;18950861	959141d738f2767b2740a3952b7647d0;1e590021af6fd6e059f0711cddedce2a	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913101/P004_DNA_L001_74667_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913101/P004_DNA_L001_74667_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913101/P004_DNA_L001_74667_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913101/P004_DNA_L001_74667_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913101/P004_DNA_L001_74667_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913101/P004_DNA_L001_74667_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM1		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990978	ERS7669238	ERX6535366	ERR6913102	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	102524	13193813	UNIVERSITY OF CALGARY	2021-10-12	2021-10-12	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-2	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-2	3202031;3236347	1eb6dd86968c8e3110709a697d612e2f;a91f2bc6c17a541a5050031908936ab0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/002/ERR6913102/ERR6913102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/002/ERR6913102/ERR6913102_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/002/ERR6913102/ERR6913102_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/002/ERR6913102/ERR6913102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/002/ERR6913102/ERR6913102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/002/ERR6913102/ERR6913102_2.fastq.gz	3067569;3103581	0f666e5d4774bac8ea8490ff2cfe4747;7a850f448081a94e65580ff4c4029419	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913102/P011_S39_L001_1_68215_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913102/P011_S39_L001_1_68215_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913102/P011_S39_L001_1_68215_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913102/P011_S39_L001_1_68215_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913102/P011_S39_L001_1_68215_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913102/P011_S39_L001_1_68215_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM2		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990979	ERS7669239	ERX6535367	ERR6913103	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	385740	49060845	UNIVERSITY OF CALGARY	2021-10-12	2021-10-12	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-3	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-3	11934554;12069446	6bc489dbb6c744f7241e7cfbedcc7f62;3ebdca56b0146c93f6db35b78fcff666	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/003/ERR6913103/ERR6913103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/003/ERR6913103/ERR6913103_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/003/ERR6913103/ERR6913103_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/003/ERR6913103/ERR6913103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/003/ERR6913103/ERR6913103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/003/ERR6913103/ERR6913103_2.fastq.gz	11426446;11564734	2d7d97bbb66b6171833c6e554b594888;6f7bd5b15c4ac84624272965d1b63fb9	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913103/P019_DNA_S74_L001_68214_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913103/P019_DNA_S74_L001_68214_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913103/P019_DNA_S74_L001_68214_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913103/P019_DNA_S74_L001_68214_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913103/P019_DNA_S74_L001_68214_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913103/P019_DNA_S74_L001_68214_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM3		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990980	ERS7669240	ERX6535368	ERR6913104	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	610606	76430173	UNIVERSITY OF CALGARY	2021-11-25	2021-11-25	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-4	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-4	18111322;18623907	2ebef7087b2761435993181a2fcc0362;3391d70477a69163d820ee9f9a2f0813	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/004/ERR6913104/ERR6913104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/004/ERR6913104/ERR6913104_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/004/ERR6913104/ERR6913104_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/004/ERR6913104/ERR6913104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/004/ERR6913104/ERR6913104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/004/ERR6913104/ERR6913104_2.fastq.gz	17251457;17776532	0cb5f406a81ea6dfd03f7ccff2038a02;d220a23e946960013086a4e9426caebb	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913104/P022_DNA_L001_74665_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913104/P022_DNA_L001_74665_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913104/P022_DNA_L001_74665_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913104/P022_DNA_L001_74665_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913104/P022_DNA_L001_74665_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913104/P022_DNA_L001_74665_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM4		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990981	ERS7669241	ERX6535369	ERR6913105	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	447254	57554921	UNIVERSITY OF CALGARY	2021-11-25	2021-11-25	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-5	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-5	13779840;14017958	fad87a47559d874471e3fcd9a38a7970;e454eeae2d6bbf59ec5d57f1958af515	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/005/ERR6913105/ERR6913105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/005/ERR6913105/ERR6913105_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/005/ERR6913105/ERR6913105_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/005/ERR6913105/ERR6913105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/005/ERR6913105/ERR6913105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/005/ERR6913105/ERR6913105_2.fastq.gz	13180488;13422433	e7f2d6ade0448d377b8faf3ce831096a;5eda350b605d78b9801a320e9dc7b549	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913105/P035_DNA_S21_L001_68213_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913105/P035_DNA_S21_L001_68213_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913105/P035_DNA_S21_L001_68213_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913105/P035_DNA_S21_L001_68213_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913105/P035_DNA_S21_L001_68213_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913105/P035_DNA_S21_L001_68213_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM5		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990982	ERS7669242	ERX6535370	ERR6913106	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	1271618	168661241	UNIVERSITY OF CALGARY	2021-11-25	2021-11-25	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-6	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-6	40465273;41506040	3d4ab950820975c0c7a4db5f6a139d6f;901b55778ebac4db3bdd633eca47103f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/006/ERR6913106/ERR6913106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/006/ERR6913106/ERR6913106_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/006/ERR6913106/ERR6913106_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/006/ERR6913106/ERR6913106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/006/ERR6913106/ERR6913106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/006/ERR6913106/ERR6913106_2.fastq.gz	38635312;39697667	5279a06e3c850c93f772125b09bff235;afd72a6b13146c53f210f1f6ae4160e8	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913106/P055_DNA_S87_L001_68212_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913106/P055_DNA_S87_L001_68212_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913106/P055_DNA_S87_L001_68212_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913106/P055_DNA_S87_L001_68212_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913106/P055_DNA_S87_L001_68212_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913106/P055_DNA_S87_L001_68212_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM6		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990983	ERS7669243	ERX6535371	ERR6913107	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	190648	24785538	UNIVERSITY OF CALGARY	2021-11-25	2021-11-25	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-7	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-7	6006393;6073225	e8cc948c801ae81f2eb674ddc3973c40;f5df62e5816926ad11f23b7256ebac63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/007/ERR6913107/ERR6913107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/007/ERR6913107/ERR6913107_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/007/ERR6913107/ERR6913107_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/007/ERR6913107/ERR6913107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/007/ERR6913107/ERR6913107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/007/ERR6913107/ERR6913107_2.fastq.gz	5758485;5825415	a01c765811761a3ad44bb2c6e5223893;12c3854f35aec3edc2fe9ba5d77c53b9	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913107/P066_DNA_S14_L001_68211_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913107/P066_DNA_S14_L001_68211_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913107/P066_DNA_S14_L001_68211_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913107/P066_DNA_S14_L001_68211_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913107/P066_DNA_S14_L001_68211_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913107/P066_DNA_S14_L001_68211_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM7		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990984	ERS7669244	ERX6535372	ERR6913108	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	226280	29240147	UNIVERSITY OF CALGARY	2021-10-12	2021-10-12	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-8	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-8	7064427;7100438	d6652897b115fa5b76137e18aace90ee;7d9f2e0cd1645884ec5e4f06aba7b2fe	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/008/ERR6913108/ERR6913108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/008/ERR6913108/ERR6913108_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/008/ERR6913108/ERR6913108_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/008/ERR6913108/ERR6913108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/008/ERR6913108/ERR6913108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/008/ERR6913108/ERR6913108_2.fastq.gz	6777573;6817229	3691cf3ed70c3a8f2cfc2cb4aee1f205;b788a25d96947a82c4b8d8160aaeebca	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913108/P069_DNA_S27_L001_68232_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913108/P069_DNA_S27_L001_68232_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913108/P069_DNA_S27_L001_68232_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913108/P069_DNA_S27_L001_68232_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913108/P069_DNA_S27_L001_68232_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913108/P069_DNA_S27_L001_68232_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM8		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990985	ERS7669245	ERX6535373	ERR6913109	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	59176	7871547	UNIVERSITY OF CALGARY	2021-11-25	2021-11-25	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-9	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-9	1900591;1936746	a9e0a0a8577ee12c0585a1c91de4fa9b;381621783f128bc53b55d6d994aaf19a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/009/ERR6913109/ERR6913109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/009/ERR6913109/ERR6913109_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/009/ERR6913109/ERR6913109_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/009/ERR6913109/ERR6913109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/009/ERR6913109/ERR6913109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/009/ERR6913109/ERR6913109_2.fastq.gz	1828077;1864800	fd7f10a5b7a4e0a1d063e30dc64c6c88;5a2c470ffd62802e85c7b292ceb17c1a	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913109/P080_DNA_S49_L001_68233_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913109/P080_DNA_S49_L001_68233_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913109/P080_DNA_S49_L001_68233_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913109/P080_DNA_S49_L001_68233_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913109/P080_DNA_S49_L001_68233_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913109/P080_DNA_S49_L001_68233_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM9		Metagenomics COVID-19	0	2021-10-06
PRJEB47870	ERP132183	SAMEA9990986	ERS7669246	ERX6535374	ERR6913110	ERA6551788	256318	metagenome	ILLUMINA	Illumina NovaSeq 6000	NEBNext Ultra II Library Preparation for Illumina	300	PAIRED	OTHER	METAGENOMIC	unspecified	335328	43851451	UNIVERSITY OF CALGARY	2021-10-12	2021-10-12	Illumina NovaSeq 6000 paired end sequencing	Analysis of diversity, co-pathogens, and metagenomics of COVID-19 patients	ena-STUDY-UNIVERSITY OF CALGARY-02-10-2021-05:39:36:575-661	ena-EXPERIMENT-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-10	ena-RUN-UNIVERSITY OF CALGARY-06-10-2021-20:39:34:199-10	10436971;10707136	57d2423b31ae32cfef1f2d7eb0513fd9;778ae4cce35b3df103bdf4277a746a25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/000/ERR6913110/ERR6913110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/000/ERR6913110/ERR6913110_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/000/ERR6913110/ERR6913110_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR691/000/ERR6913110/ERR6913110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/000/ERR6913110/ERR6913110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR691/000/ERR6913110/ERR6913110_2.fastq.gz	10000976;10277255	b67889afa9651a2d06145d499d6593f5;f619f1df3cce4deea2e03097e581b6f9	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913110/P082_DNA_S42_L001_68210_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913110/P082_DNA_S42_L001_68210_reads_nh_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913110/P082_DNA_S42_L001_68210_reads_nh_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR691/ERR6913110/P082_DNA_S42_L001_68210_reads_nh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913110/P082_DNA_S42_L001_68210_reads_nh_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR691/ERR6913110/P082_DNA_S42_L001_68210_reads_nh_R2.fastq.gz	FASTQ;FASTQ									Meta_DCM10		Metagenomics COVID-19	0	2021-10-06
